iter	Passed	Remaining
592	3685	2529
593	3692	2523
594	3698	2517
595	3704	2510
596	3710	2504
597	3716	2498
598	3722	2491
599	3728	2485
600	3733	2478
601	3740	2472
602	3746	2466
603	3753	2460
604	3760	2454
605	3765	2448
606	3772	2442
607	3778	2436
608	3785	2430
609	3791	2424
610	3797	2417
611	3803	2411
612	3809	2405
613	3815	2398
614	3822	2392
615	3828	2386
616	3834	2380
617	3840	2374
618	3847	2367
619	3853	2361
620	3859	2355
621	3865	2349
622	3871	2343
623	3878	2336
624	3884	2330
625	3891	2324
626	3897	2318
627	3904	2312
628	3910	2306
629	3915	2299
630	3921	2293
631	3928	2287
632	3934	2281
633	3942	2275
634	3949	2270
635	3955	2263
636	3962	2258
637	3968	2251
638	3976	2246
639	3993	2246
640	3999	2240
641	4007	2234
642	4012	2227
643	4019	2221
644	4025	2215
645	4031	2209
646	4037	2202
647	4043	2196
648	4050	2190
649	4056	2184
650	4062	2177
651	4069	2171
652	4075	2165
653	4081	2159
654	4088	2153
655	4094	2147
656	4102	2141
657	4108	2135
658	4114	2129
659	4121	2122
660	4127	2117
661	4134	2111
662	4140	2104
663	4146	2098
664	4152	2091
665	4159	2085
666	4165	2079
667	4171	2073
668	4178	2067
669	4184	2061
670	4190	2054
671	4198	2049
672	4205	2043
673	4212	2037
674	4219	2031
675	4225	2025
676	4232	2019
677	4238	2013
678	4244	2006
679	4251	2000
680	4257	1994
681	4263	1988
682	4270	1981
683	4276	1975
684	4284	1970
685	4291	1964
686	4297	1958
687	4304	1952
688	4310	1945
689	4317	1939
690	4323	1933
691	4329	1926
692	4335	1920
693	4342	1914
694	4349	1908
695	4357	1903
696	4363	1896
697	4369	1890
698	4376	1884
699	4383	1878
700	4389	1872
701	4396	1866
702	4402	1860
703	4408	1853
704	4414	1847
705	4421	1841
706	4428	1835
707	4435	1829
708	4441	1823
709	4449	1817
710	4455	1810
711	4461	1804
712	4468	1798
713	4475	1792
714	4481	1786
715	4488	1780
716	4496	1774
717	4510	1771
718	4516	1765
719	4522	1758
720	4529	1752
721	4535	1746
722	4541	1739
723	4547	1733
724	4584	1738
725	4598	1735
726	4610	1731
727	4616	1724
728	4622	1718
729	4628	1711
730	4635	1705
731	4641	1699
732	4646	1692
733	4652	1686
734	4658	1679
735	4664	1673
736	4670	1666
737	4676	1660
738	4682	1653
739	4688	1647
740	4694	1640
741	4700	1634
742	4706	1628
743	4712	1621
744	4718	1614
745	4724	1608
746	4730	1602
747	4736	1595
748	4742	1589
749	4748	1582
750	4755	1576
751	4761	1570
752	4767	1563
753	4772	1557
754	4779	1551
755	4785	1544
756	4791	1538
757	4797	1531
758	4803	1525
759	4810	1519
760	4819	1513
761	4825	1507
762	4831	1500
763	4839	1495
764	4845	1488
765	4852	1482
766	4859	1476
767	4866	1470
768	4872	1463
769	4882	1458
770	4888	1452
771	4895	1445
772	4903	1439
773	4909	1433
774	4916	1427
775	4923	1421
776	4930	1415
777	4938	1409
778	4944	1402
779	4950	1396
780	4957	1390
781	4964	1383
782	4970	1377
783	4979	1371
784	4986	1365
785	4992	1359
786	4998	1352
787	5005	1346
788	5012	1340
789	5019	1334
790	5025	1327
791	5031	1321
792	5037	1314
793	5043	1308
794	5050	1302
795	5056	1295
796	5062	1289
797	5068	1282
798	5075	1276
799	5081	1270
800	5088	1264
801	5094	1257
802	5101	1251
803	5107	1245
804	5113	1238
805	5119	1232
806	5124	1225
807	5131	1219
808	5137	1212
809	5142	1206
810	5148	1199
811	5154	1193
812	5160	1187
813	5167	1180
814	5173	1174
815	5179	1168
816	5185	1161
817	5191	1155
818	5197	1148
819	5203	1142
820	5209	1135
821	5215	1129
822	5221	1123
823	5227	1116
824	5233	1110
825	5240	1103
826	5246	1097
827	5251	1090
828	5257	1084
829	5263	1078
830	5268	1071
831	5275	1065
832	5281	1058
833	5288	1052
834	5293	1046
835	5299	1039
836	5305	1033
837	5311	1026
838	5317	1020
839	5323	1013
840	5329	1007
841	5335	1001
842	5341	994
843	5347	988
844	5353	982
845	5359	975
846	5365	969
847	5372	962
848	5377	956
849	5384	950
850	5390	943
851	5396	937
852	5402	931
853	5408	924
854	5413	918
855	5420	911
856	5426	905
857	5432	899
858	5438	892
859	5445	886
860	5450	879
861	5457	873
862	5465	867
863	5471	861
864	5477	854
865	5485	848
866	5493	842
867	5499	836
868	5507	830
869	5515	824
870	5521	817
871	5528	811
872	5534	805
873	5541	798
874	5549	792
875	5556	786
876	5564	780
877	5573	774
878	5581	768
879	5588	762
880	5599	756
881	5607	750
882	5613	743
883	5618	737
884	5624	730
885	5630	724
886	5638	718
887	5644	711
888	5650	705
889	5655	699
890	5662	692
891	5668	686
892	5674	679
893	5680	673
894	5686	667
895	5691	660
896	5698	654
897	5703	647
898	5709	641
899	5715	635
900	5721	628
901	5727	622
902	5733	615
903	5739	609
904	5745	603
905	5751	596
906	5756	590
907	5762	583
908	5770	577
909	5775	571
910	5784	565
911	5790	558
912	5797	552
913	5803	546
914	5809	539
915	5815	533
916	5821	526
917	5827	520
918	5833	514
919	5838	507
920	5844	501
921	5850	494
922	5856	488
923	5862	482
924	5870	476
925	5876	469
926	5882	463
927	5887	456
928	5893	450
929	5899	444
930	5905	437
931	5911	431
932	5916	424
933	5923	418
934	5929	412
935	5934	405
936	5940	399
937	5947	393
938	5952	386
939	5958	380
940	5964	373
941	5970	367
942	5976	361
943	5982	354
944	5988	348
945	5994	342
946	6000	335
947	6005	329
948	6011	323
949	6018	316
950	6024	310
951	6030	304
952	6036	297
953	6042	291
954	6048	285
955	6054	278
956	6060	272
957	6066	265
958	6075	259
959	6081	253
960	6088	247
961	6094	240
962	6101	234
963	6109	228
964	6116	221
965	6122	215
966	6128	209
967	6135	202
968	6142	196
969	6150	190
970	6157	183
971	6165	177
972	6172	171
973	6179	164
974	6185	158
975	6194	152
976	6200	145
977	6206	139
978	6213	133
979	6219	126
980	6226	120
981	6232	114
982	6238	107
983	6245	101
984	6253	95
985	6261	88
986	6268	82
987	6276	76
988	6284	69
989	6291	63
990	6299	57
991	6304	50
992	6310	44
993	6316	38
994	6322	31
995	6328	25
996	6334	19
997	6339	12
998	6345	6
999	6351	0
